;Date;Review;Rating
0;05/05/2023;"A FUIR !!!!!!!!!!!!!!!
Très mécontente, après avoir attendu 6 heures le technicien (dans un appartement loin de chez moi où je ne pouvais rien faire, et ayant dû poser ma journée) personne n'est venu, on m'a promis un dédommagement au téléphone et maintenant ils disent qu'il n'y a pas d'écrit et que cela fait plus de deux mois (j'ai relancé entre temps 2 fois !).... ULTRA mécontente, une vraie ARNAQUE !";1
1;05/05/2023;"Prise de rdv pour une installation fibre chez ma grand-mère. Le technicien refuse d'acheminer le câble où elle lui demande en prétextant des impossibilités techniques, n'en fait qu'à sa tête et creuse un trou dans la terrasse pour faire passer le câble. Ma mère est obligée d'intervenir et lui demande de tout arrêter. Il s'en va. Nouvelle prise de rendez-vous, nous demandons à changer de sous-traitant. Le rdv est pris pour un autre matin. Puis ce matin là à 9h, il est déplacé pour 13h et finalement le technicien ne viendra pas. Le rendez-vous est alors reporté au lendemain après-midi et une conseillère me planifie un rdv téléphonique à la suite de ce rdv (elle ne l'a bien sûr pas honoré). Finalement c'est le même sous-traitant, mais un technicien plus expérimenté. Il rebouche le trou (bien sur pas la bonne couleur). L'installation se passe bien.
1 journée et demie de perdu (= congés sans soldes), 1 terrasse détériorée.
Je demande un dédommagement pour tout cela.
On me propose un mois gratuit. Soit 10% de la somme que ça a engendré en frais annexe.
Rien de plus, à peine des excuses, la conseillère absolument pas empathique ou sympathique, même pas de bonne journée en fin d'appel.
Évidemment pour arriver à avoir cette personne je suis passée par au moins 10 interlocuteurs.
Je suis dégoutée par ce traitement. Je suis dégoutée par SFR qui impose un certains nombre d'interventions à ses sous-traitants et par conséquent qu'ils ne peuvent pas honorés leurs rendez-vous. Je suis dégoutée du mépris du 1er technicien envers ma grand-mère.
Pour l'instant le téléphone ne fonctionne toujours pas car le câble tel est différent entre l'ADSL et la fibre mais ça ce n'est rien par rapport au reste...";1
2;02/05/2023;Nous n'arrivions pas à faire changer notre connect tv auprès du service client qui disfonctionnait. Au bout de 3 mois nous avons réussi et ils ont envoyé le matériel à notre ancienne adresse...! Après ça, les problèmes de la Connect tv étaient les mêmes... nous avons dû acheter notre propre matériel.;1
3;01/05/2023;Je suis partie vivre à l’étranger. J’ai donc retiré ma carte SIM de mon téléphone. J’ai reçu des factures de téléphone avec du hors forfait. Je souligne bien que ma puce n’était même pas dans mon téléphone. À boycotter SFR ! Des voleurs !;1
4;21/04/2023;Zéro étoile j’ai résilié une option netflix depuis 20 février 2022 et on me prélève toujours on est le 21/04/2023 sois disant sans engament. Oui je suis d’accord avec les autre avis des gros voleurs et leur service clients déplorables qui touche un salaire et vous font croire qui vont resoudre le problème, il sont entrain de couler l’entreprise, fuyez pauvre fou.;1
5;21/04/2023;Client Red à Marseille 13eme, depuis plusieurs années, je constate une dégradation du service depuis 2 ans: couverture 4G aléatoire, zone blanche, de fréquentes mise à jour de la box et un débit pas terrible (alors que je suis à 800m du NRA). Depuis le passage à la fibre, c'est encore pire (j'ai une meilleure qualité d'image en passant par mon antenne hertzienne que par la fibre). Enfin, c'est une galère pour contacter le service client (très peu intuitif).;2
6;21/04/2023;Je souffre d'un mauvais signal tant avec mon portable qu'avec ma box adsl (nombreuses coupures en Wifi) de chez moi (76 Seine-martime). Red ne parvient pas à améliorer les connections. Comme je capte difficilement ave mon portable, RED m'a accordé gratuitement l'option appel du fixe vers les portables pour me garder. Ent fait ils ne l'on pas mis en place et m'ont prélevé 200€ de communication fixe vers portable hors forfait. Impossible de joindre et de parler à quelqu'un de sérieux. Seul sont possible des échanges de chats avec des personnes toujours différentes qui se contentent de me dire que l'instruction de ma réclamation est en cours et ce depuis un mois. Donc techniquement le service est mauvais, administrativement c'est pire. vous vous faites arnaquer et impossible de parler à quelqu'un de sérieux pour régler les problemes.;1
7;28/04/2023;Coupure de fibre suite à une installation chez le voisin,la réparation s'est bien passée mais prise de rendez-vous un peu longue;4
8;15/04/2023;"Depuis l'activation de ma ligne téléphonique fixe,le 10 février dernier, je n'ai jamais eu accès à internet, via mon offre box adsl.
C'est pourquoi après au moins une trentaine d'appels, auprès des services client de l'opérateur, j'ai décidé de résilier cette offre, au 26 mars 2023.
Depuis j'essaye de me faire rembourser les 39€ d'ouverture de service (inexistant !), ainsi que les 18,98€ facturés pour le mois de mars....Alors qu'ils m'avaient envoyé un mail, m'offrant ce deuxième mois, compte tenu du dysfonctionnement de ma ligne.
SERVICE CLIENT NUL !";1
9;20/04/2023;Suite à une panne impossible de les joindre ...Au bout de 72 heure vous donne rendez vous entre 8 à 10 heure , et on le dit si vous serez pas présent ce jour là vous serez pénalisé de 150 euro alors que leur technicien n'est pas venue du tout à fuire à fuire même gratuit ne vous abonné jamais chez eux;1
10;24/04/2023;"A cause d'eux, je suis devenu diabétique
Le réseau vraiment horrible.
Le réseau plus faible en Afrique sera mieux que le réseau de RED
Malheureusement Red ne parvient pas à améliorer les connections
JE RECOMMANDE PAS";1
11;17/04/2023;"Enfin un site qui délivre de frais informations.
Les 8,7/10 affichés partout me font très rire.

Quand une entreprise est dirigé par un directeur financier, on constate au fil des années une perte d'employés significatif, une baisse considérable de la qualité du service. En prime, on a des commerciaux embauchés à la va vite qui vous tiennent la discussion et qui se permettent de raccrocher au nez quand on refuse la proposition.

Je pense que ça laisse une sacré image de la qualité d'une entreprise pareille.

Surréaliste. Continuez à vous moquer de tout le monde. Vous coulerez bien un jour avec des pratiques pareilles.";1
12;14/04/2023;Vendent un forfait en promo à 9euros/mois qui, soit disant, n'augmente pas, pour rajouter automatiquement des options sans notre consentement. On se retrouve à payer 17euros le forfait auquel il faut batailler pour retirer les options qui reviennent chaque année. Démarche commerciale frauduleuse...;1
13;27/04/2023;"Service client odieux.
J'ai contacté RED BY SFR ce jour à 16h23 pour mon offre 0492109351 et j'ai été très mal reçue par la conseillère.
Celle-ci a haussé le ton et elle m'a coupé la parole.
Elle a refusé de me donner son prénom.
Je suis choquée par ce comportement.
Je décide de résilier toutes les offres avec eux.";1
14;11/04/2023;réseau médiocre (netflix qui fige , wifi uniquement dans la pièce où est la box , décodeur tv qui ne fonctionne toujours pas 4j après l’installation. On nous parle de mise à jour pour nous faire patienter pour au final nous dire que la box n’est pas détectée à distance et qu’il faut fixer un rdv pour intervention. Je me rétracte mais je dois attendre 10j pour obtenir les étiquettes de renvois et surtout la résiliation. Bien évidement les frais de résiliation de mon ancienne box ne me sont plus remboursés suite à la rétractation ……!!!! Aucun signe de geste commercial ou autre;1
15;13/04/2023;"Je mets une étoile car obligatoire...
J'ai changé mon forfait pour un forfait promo red 200go au prime abord très intéressant financièrement, intéressant si on ne veut pas téléphoner ou surfer sur le net !
Sans cesse déconnecté, correspondant en appel mis sans cesse en attente car pas de réseau
Donc pour résumer opérateur qui ne sert à rien et service client qui répond à chaque requête "" il y a un incident dans votre secteur nous y remedions au plus vite ""
Pour info j'habite entre Saumur et Thouars qui sont des villes il me semble...
Fuyez !!!";1
16;17/04/2023;"CHANTAGE FINANCIER chez SFR RED. Sfr RED a écrasé ma ligne du jour au lendemain donc je me suis retrouvée sans internet et sans TV pendant plus d'une semaine et demi le temps qu'un technicien vienne. Le technicien passe et on m'informe que je vais devoir payer 30 euros en plus pour un nouvel équipement et un nouvel abonnement. Si je ne leur renvoie pas l'équipement c'est 150 euros. Donc en gros, je suis facturer pour une erreur commise par leur service. Le service client m'annonce une remise sur mon abonnement comme dédommagement et pourtant je continue à payer plein tarif.

SFR RED c'est j'augmente mes prix chaque année, j'interromps le service de mes clients du jour au lendemain et je les facture pour la remise en place du service, le tout sans aucun geste commercial. La réponse du service client : c'est comme ca que ca se passe sinon changer d'opérateur.";1
17;28/04/2023;Je ne peut mettre zéro 2 rdv pour soi disant un technicien qui et venu sans matériel oblige de lui prêter escabot trou ds pl´aco avec un ciseaux laissé l ancien matériel qu il devait reprendre et détritus box fibre pas installé et pour finir adsl résilié et 1 bidon d huile moto neuf à 108 euros disparus;1
